Year,Country,Happiness rank,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
2015,Germany,26,6.75,1.328,1.299,0.892,0.615,0.282,0.218,2.116
2015,Sri Lanka,132,4.271,0.835,1.019,0.708,0.537,0.408,0.092,0.671
2016,Germany,16,6.994,1.448,1.098,0.815,0.535,0.305,0.286,2.509
2016,Sri Lanka,117,4.415,0.973,0.848,0.62,0.508,0.47,0.08,0.917
2017,Germany,16,6.951,1.488,1.473,0.799,0.563,0.336,0.277,2.016
2017,Sri Lanka,120,4.44,1.01,1.26,0.625,0.561,0.491,0.074,0.419
2018,Germany,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2.151
2018,Sri Lanka,116,4.471,0.918,1.314,0.672,0.585,0.307,0.05,0.625
2019,Germany,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2.15
2019,Sri Lanka,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,0.56
2020,Germany,17,7.076,1.314,1.369,0.972,0.564,0.252,0.309,2.295
2020,Sri Lanka,130,4.327,0.898,1.195,0.792,0.529,0.253,0.049,0.611
2021,Germany,13,7.155,1.48,0.993,0.757,0.6,0.195,0.306,2.824
2021,Sri Lanka,129,4.325,0.99,0.82,0.593,0.559,0.239,0.049,1.075
2022,Germany,14,7.034,1.924,1.088,0.776,0.585,0.163,0.358,2.142
2022,Sri Lanka,127,4.362,1.415,0.934,0.66,0.529,0.15,0.079,0.595
2023,Germany,16,6.892,1.919,1.401,0.539,0.618,0.153,0.365,1.898
2023,Sri Lanka,112,4.442,1.422,1.224,0.426,0.539,0.12,0.086,0.625
2024,Germany,24,6.719,1.871,1.39,0.702,0.7,0.174,0.368,1.513
2024,Sri Lanka,128,3.898,1.361,1.179,0.586,0.583,0.144,0.031,0.014
