Country,Jan,Feb,Mar,April,May,June,July,August,Sep,Oct,Total
Afghanistan,26,21,18,0,20,2,15,18,5,7,132
Albania,7,6,13,10,11,7,11,13,6,8,92
Algeria,18,38,10,38,28,48,54,49,25,26,334
Andorra,3,6,10,1,7,6,20,25,23,14,115
Angola,8,0,2,1,5,0,0,2,1,2,21
Antigua and Barbuda,3,5,5,3,1,0,5,2,1,9,34
Argentina,141,79,120,102,44,51,50,43,45,91,766
Armenia,510,264,326,128,60,71,128,136,107,371,2101
Aruba,0,0,0,0,0,0,0,0,0,0,0
Australia,6645,6265,8852,7202,5465,6317,7371,6687,7200,6523,68527
Austria,2385,2372,1674,1092,544,384,1722,1150,757,917,12997
Azerbaijan,163,157,469,101,39,83,150,97,100,98,1457
Bahamas,0,0,4,0,0,3,3,0,1,4,15
Bahrain,122,81,29,85,68,197,162,140,54,64,1002
Bangladesh,2329,2389,1308,2354,2878,4374,4607,3877,4178,3732,32026
Barbados,0,1,13,2,0,5,4,3,0,7,35
Belarus,2342,1884,1665,752,195,175,203,199,177,504,8096
Belgium,1313,1577,1565,914,549,872,3435,1751,1669,847,14492
Belize,1,2,4,2,0,1,4,1,1,2,18
Benin,0,0,0,1,2,1,1,0,2,0,7
Bhutan,135,67,68,24,52,33,29,51,45,41,545
Bolivia,8,7,2,6,5,4,2,6,3,3,46
Bosnia and Herzegovina,37,66,17,18,15,10,18,19,26,14,240
Botswana,3,2,3,2,1,5,3,7,2,4,32
Brazil,236,212,159,239,106,111,134,129,100,125,1551
Brunei Darussalam,1,11,9,4,3,15,7,6,0,2,58
Bulgaria,656,624,458,313,71,26,34,43,32,233,2490
Burkina Faso,0,0,0,1,1,0,0,0,0,2,4
Burundi,0,0,1,0,1,1,0,1,3,0,7
Cambodia,42,41,531,162,82,50,24,25,55,59,1071
Cameroon,1,4,4,1,0,0,2,0,0,4,16
Canada,4126,3912,4034,3594,3294,3263,4821,3868,2095,2339,35346
Cape Verde,0,0,0,0,0,0,1,1,0,0,2
Chad,0,0,1,0,0,0,0,1,0,1,3
Central African Republic,0,0,29,0,0,0,1,1,0,0,31
Chile,56,61,77,53,42,32,36,42,32,40,471
China,11511,14836,12865,8518,7511,8575,13040,11333,9078,8307,105574
Colombia,54,70,69,88,40,44,51,51,26,62,555
Country,Jan,Feb,Mar,April, May ,June,July,August,Sep,Oct,Total
Comoros,6,6,3,2,10,8,17,14,5,13,84
Congo,2,5,0,0,2,3,2,3,0,0,17
Costa Rica,20,14,11,11,7,3,3,2,2,5,78
Cote Divoire,0,1,2,0,0,0,0,1,0,2,6
Croatia,281,249,200,70,35,23,78,133,95,110,1274
Cuba,6,1,10,1,1,10,4,6,6,4,49
Cyprus,91,62,67,112,31,57,191,307,45,52,1015
Czech Republic,3484,3852,2988,1279,314,526,1133,822,496,729,15623
Denmark,2542,2160,1497,822,410,714,2147,606,566,739,12203
Djibouti,1,4,5,0,0,1,0,2,2,3,18
Dominica,7,9,14,8,11,9,17,6,2,14,97
Dominican Republic,8,1,3,1,4,3,1,2,1,5,29
Ecuador,9,13,7,9,8,9,11,1,11,13,91
Egypt,396,476,99,458,223,365,326,265,232,282,3122
El Salvador,2,4,4,1,1,5,4,1,3,2,27
Equatorial Guinea,0,0,0,6,0,0,0,0,0,0,6
Eritrea,1,1,1,3,2,6,0,0,0,1,15
Estonia,910,898,690,236,11,30,24,15,45,131,2990
Ethiopia,8,6,10,17,6,13,11,14,12,12,109
Fiji,16,9,11,26,13,9,9,7,2,10,112
Finland,737,666,464,238,159,130,94,100,165,215,2968
France,9919,12503,10960,8792,4064,3102,9405,8596,3749,4688,75778
Gabon,0,0,0,0,0,0,0,0,2,0,2
"Gambia, The",0,2,0,2,4,2,1,3,1,0,15
Georgia,216,187,148,132,39,26,30,26,27,24,855
Germany,13593,16259,18324,9843,7495,4556,10618,10623,8260,9217,108788
Ghana,3,4,4,3,1,0,4,4,6,11,40
Greece,264,264,305,306,133,82,119,339,106,142,2060
Grenada,1,0,2,2,0,5,2,5,3,3,23
Guatemala,2,10,2,6,6,5,1,3,4,4,43
Guinea-Bissau,0,0,1,0,0,0,1,0,2,0,4
Guinea,0,2,0,2,1,5,0,2,0,1,13
Guyana,0,1,4,0,0,3,1,2,3,9,23
Haiti,1,0,0,0,0,1,2,0,1,3,8
Honduras,1,1,1,2,2,0,2,2,2,2,15
Hungary,1544,1311,585,237,78,160,210,261,137,431,4954
Iceland,41,28,26,16,22,6,29,21,12,20,221
India,34399,30027,31853,27304,32254,28631,41173,33031,27884,36417,322973
Country,Jan,Feb,Mar,April, May ,June,July,August,Sep,Oct,Total
Indonesia,224,320,257,248,218,272,275,291,431,297,2833
Iran,688,919,3589,426,280,318,339,883,1227,591,9260
Iraq,54,74,21,58,101,93,119,172,81,64,837
Ireland,797,874,1008,846,315,673,715,586,434,706,6954
Israel,773,1988,2212,3169,1506,1515,2962,3248,3142,1398,21913
Italy,3485,3194,2502,2245,1010,1792,3630,9586,1902,1431,30777
