Year,GDP (current US$),"Central government debt, total (% of GDP)","Industry (including construction), value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)",Military expenditure (% of GDP),GDP per capita (current US$)
2000,16330814179.9766,96.9040326453759,27.3180767964657,19.9273150418722,52.7545992799188,5.03387296841704,870
2001,15749753804.8344,103.219274149885,26.8205944160785,20.0666052033611,53.1127923586647,4.28699058949232,833
2002,16536535647.0834,105.524990754701,28.0106134516732,14.2793225360883,57.7100640122386,3.34258944021437,867
2003,18881765437.2151,102.270712023476,28.4245704176973,13.230514884212,58.3448927498315,2.86891182725842,982
2004,20662525941.2985,102.328536698869,28.6181015199147,12.5438041438828,58.8380943362025,2.99735847919569,1066
2005,24405791044.7761,90.6049131149854,30.1880884644457,11.8194768226447,57.9924347129097,2.6395333951407,1249
2006,28279802405.9138,88.6994841221229,30.6422951801489,11.3362802346632,58.0214245851879,2.79877359903086,1436
2007,32350238760.4239,84.9944169483341,29.9198197775274,11.6831643328505,58.3970158896221,3.26060835702917,1630
2008,40713826215.0093,,29.3711947494741,13.379200767591,57.2496044829348,3.24360178402603,2037
2009,42066224093.0065,86.063491912486,29.6714387318411,12.691971303497,57.6365899646619,3.16189871004304,2090
2010,58636161081.712,69.2530251841062,27.7831982979266,9.04833700695796,53.0103501848071,2.70074784039336,2800
2011,67753284043.9282,68.5257394060365,29.0731497644916,9.53315934995748,53.3645298044492,2.68531865302989,3201
2012,70447216891.3366,66.747235367261,30.9698538095878,7.91028886801456,54.204493062591,2.15519951243996,3351
2013,77000578167.353,68.353616559854,30.7956807276274,7.9246041166418,54.515555670243,2.15404824269909,3610
2014,82528535713.926,68.5910423335315,30.5178954280569,8.08070792347262,54.6273859128379,2.41264701190051,3819
2015,85140955388.8509,73.512659162998,29.5354178734212,8.21693887941169,54.2106196156598,2.41701116575955,3844
2016,88012282205.8357,,30.4827177299458,7.26171847777838,53.418163695813,1.97935533284589,3886
2017,94376237797.2367,,31.1282786472283,7.4306787796126,52.239532866926,1.97692843257215,4077
2018,94493871200.7869,,30.0568199551031,7.59206651696938,53.6373221061605,1.73469354853576,4059
2019,89014978344.1404,,29.1910069413124,7.25624893779769,55.7458587541996,1.75219928060225,3848
2020,84304298770.5329,,28.2358320400525,8.25132328798957,57.8323859500172,1.73988733298184,3694
2021,88609332762.4729,,29.9540061951905,8.78995174528451,55.8743762623229,1.89424834227119,3815
2022,74144875098.0587,,29.8086869927168,8.4970914171668,57.0146556085073,1.43043206686897,
2023,84356860421.13,,25.5926094504805,8.28101275498681,59.9258355078078,,
