year,adm_1,best
#date+year,#adm1+name,#affected+killed
1989,Southern province,5
1989,Southern province,4
1989,,8
1989,Central province,4
1989,Southern province,2
1989,North Western province,4
1989,North Central province,0
1989,North Central province,5
1989,North Central province,3
1989,Southern province,1
1989,Southern province,4
1989,Southern province,7
1989,North Western province,1
1989,Sabaragamuwa province,3
1989,Southern province,2
1989,,1
1989,,1
1989,,1
1989,North Central province,3
1989,Central province,4
1989,Western province,2
1989,Western province,2
1989,Western province,1
1989,Western province,1
1989,Western province,1
1989,Western province,1
1989,North Western province,8
1989,Central province,3
1989,Southern province,5
1989,,4
1989,Western province,4
1989,North Central province,6
1989,Western province,1
1989,,4
1989,Central province,5
1989,Western province,5
1989,Southern province,3
1989,,0
1989,,0
1989,,0
1989,Southern province,2
1989,Southern province,1
1989,,2
1989,Central province,2
1989,Western province,1
1989,,4
1989,,3
1989,Central province,6
1989,,1
1989,Western province,6
1989,Western province,8
1989,North Western province,5
1989,,13
1989,North Central province,3
1989,Southern province,1
1989,Western province,5
1989,North Central province,4
1989,Western province,2
1989,Southern province,8
1989,,8
1989,Central province,2
1989,Southern province,4
1989,North Eastern province,3
1989,North Eastern province,1
1989,Western province,8
1989,,2
1989,Uva province,1
1989,Southern province,2
1989,,2
1989,Western province,3
1989,,6
1989,Uva province,3
1989,North Eastern province,3
1989,North Eastern province,2
1989,Western province,5
1989,Southern province,1
1989,Southern province,2
1989,Southern province,5
1989,Central province,6
1989,Southern province,4
1989,Central province,3
1989,Uva province,3
1989,North Eastern province,3
1989,Central province,3
1989,Central province,15
1989,North Eastern province,10
1989,North Western province,6
1989,Central province,1
1989,,1
1989,North Western province,7
1989,Sabaragamuwa province,2
1989,North Western province,3
1989,North Western province,6
1989,North Western province,2
1989,Southern province,5
1989,Southern province,1
1989,North Central province,1
1989,Southern province,3
1989,Southern province,1
1989,Southern province,1
1989,Central province,5
1989,Central province,4
1989,North Central province,7
1989,North Central province,7
1989,Central province,4
1989,Western province,7
1989,Sabaragamuwa province,8
1990,Central province,16
1990,,2
1990,,6
1990,Uva province,2
1990,Central province,2
1990,Western province,2
1990,Central province,5
1990,Uva province,4
1990,Southern province,13
1990,Central province,7
1990,Southern province,2
1989,North Central province,4
1989,North Eastern province,5
1989,North Eastern province,21
