Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
LKA,2023,BM.GSR.CMCP.ZS,50.6955882607179
LKA,2022,BM.GSR.CMCP.ZS,25.5661756241112
LKA,2021,BM.GSR.CMCP.ZS,28.7188166767198
LKA,2020,BM.GSR.CMCP.ZS,18.3058359006694
LKA,2019,BM.GSR.CMCP.ZS,15.2519292267309
LKA,2018,BM.GSR.CMCP.ZS,14.4720108683858
LKA,2017,BM.GSR.CMCP.ZS,14.1315292947193
LKA,2016,BM.GSR.CMCP.ZS,14.2509740646768
LKA,2015,BM.GSR.CMCP.ZS,14.7860447783384
LKA,2014,BM.GSR.CMCP.ZS,15.0798941335964
LKA,2013,BM.GSR.CMCP.ZS,14.8872217889552
LKA,2012,BM.GSR.CMCP.ZS,12.33805334723
LKA,2011,BM.GSR.CMCP.ZS,11.850183490652
LKA,2010,BM.GSR.CMCP.ZS,14.4028168878337
LKA,2009,BM.GSR.CMCP.ZS,16.4006565019862
LKA,2008,BM.GSR.CMCP.ZS,14.1498777376143
LKA,2007,BM.GSR.CMCP.ZS,17.0193139233208
LKA,2006,BM.GSR.CMCP.ZS,17.4765312644917
LKA,2005,BM.GSR.CMCP.ZS,18.3769449122877
LKA,2004,BM.GSR.CMCP.ZS,19.2246709796993
LKA,2003,BM.GSR.CMCP.ZS,20.4160879726134
LKA,2002,BM.GSR.CMCP.ZS,22.2571482673736
LKA,2001,BM.GSR.CMCP.ZS,15.853980586076
LKA,2000,BM.GSR.CMCP.ZS,18.9535803828455
LKA,1999,BM.GSR.CMCP.ZS,21.0702662531319
LKA,1998,BM.GSR.CMCP.ZS,21.1178484670947
LKA,1997,BM.GSR.CMCP.ZS,21.755583649305
LKA,1996,BM.GSR.CMCP.ZS,22.0718504972707
LKA,1995,BM.GSR.CMCP.ZS,22.5653867845266
LKA,1994,BM.GSR.CMCP.ZS,22.7504821315815
LKA,1993,BM.GSR.CMCP.ZS,24.2947226258097
LKA,1992,BM.GSR.CMCP.ZS,21.9649528220787
LKA,1991,BM.GSR.CMCP.ZS,24.3126951367614
LKA,1990,BM.GSR.CMCP.ZS,19.5939391104607
LKA,1989,BM.GSR.CMCP.ZS,21.1991626819144
LKA,1988,BM.GSR.CMCP.ZS,22.7908578802446
LKA,1987,BM.GSR.CMCP.ZS,24.7433476048203
LKA,1986,BM.GSR.CMCP.ZS,23.7729277443027
LKA,1985,BM.GSR.CMCP.ZS,25.4518475676133
LKA,1984,BM.GSR.CMCP.ZS,25.2191257239291
LKA,1983,BM.GSR.CMCP.ZS,28.0828131798522
LKA,1982,BM.GSR.CMCP.ZS,30.4800634278311
LKA,1981,BM.GSR.CMCP.ZS,27.9963127064418
LKA,1980,BM.GSR.CMCP.ZS,23.5445055236521
LKA,1979,BM.GSR.CMCP.ZS,14.1191048141844
LKA,1978,BM.GSR.CMCP.ZS,16.9195151898039
LKA,1977,BM.GSR.CMCP.ZS,20.3682911060717
LKA,1976,BM.GSR.CMCP.ZS,22.5287356321957
LKA,1975,BM.GSR.CMCP.ZS,22.2357229647478
LKA,2023,PA.NUS.ATLS,327.5331
LKA,2022,PA.NUS.ATLS,324.5506
LKA,2021,PA.NUS.ATLS,198.7643
LKA,2020,PA.NUS.ATLS,185.5926
LKA,2019,PA.NUS.ATLS,178.744925
LKA,2018,PA.NUS.ATLS,162.464859
LKA,2017,PA.NUS.ATLS,152.446414
LKA,2016,PA.NUS.ATLS,145.581667
LKA,2015,PA.NUS.ATLS,135.856913
LKA,2014,PA.NUS.ATLS,130.564685
LKA,2013,PA.NUS.ATLS,129.069031
LKA,2012,PA.NUS.ATLS,127.603354
LKA,2011,PA.NUS.ATLS,110.565208
LKA,2010,PA.NUS.ATLS,113.06448
LKA,2009,PA.NUS.ATLS,114.944783
LKA,2008,PA.NUS.ATLS,108.333763
LKA,2007,PA.NUS.ATLS,110.623233
LKA,2006,PA.NUS.ATLS,103.914446
LKA,2005,PA.NUS.ATLS,100.5
LKA,2004,PA.NUS.ATLS,101.19
LKA,2003,PA.NUS.ATLS,96.52
LKA,2002,PA.NUS.ATLS,95.66
LKA,2001,PA.NUS.ATLS,89.36
LKA,2000,PA.NUS.ATLS,77.01
LKA,1999,PA.NUS.ATLS,70.64
LKA,1998,PA.NUS.ATLS,64.45
LKA,1997,PA.NUS.ATLS,58.99
LKA,1996,PA.NUS.ATLS,55.27
LKA,1995,PA.NUS.ATLS,51.25
LKA,1994,PA.NUS.ATLS,49.42
LKA,1993,PA.NUS.ATLS,48.32
LKA,1992,PA.NUS.ATLS,43.83
LKA,1991,PA.NUS.ATLS,41.37
LKA,1990,PA.NUS.ATLS,40.06
LKA,1989,PA.NUS.ATLS,36.05
LKA,1988,PA.NUS.ATLS,31.81
LKA,1987,PA.NUS.ATLS,29.44
LKA,1986,PA.NUS.ATLS,28.02
LKA,1985,PA.NUS.ATLS,27.16
LKA,1984,PA.NUS.ATLS,25.44
LKA,1983,PA.NUS.ATLS,23.53
LKA,1982,PA.NUS.ATLS,20.81
LKA,1981,PA.NUS.ATLS,19.25
LKA,1980,PA.NUS.ATLS,16.53
LKA,1979,PA.NUS.ATLS,15.57
LKA,1978,PA.NUS.ATLS,15.61
LKA,1977,PA.NUS.ATLS,8.87
LKA,1976,PA.NUS.ATLS,8.41
LKA,1975,PA.NUS.ATLS,7.01
LKA,1974,PA.NUS.ATLS,6.65
LKA,1973,PA.NUS.ATLS,6.4
LKA,1972,PA.NUS.ATLS,5.97
LKA,1971,PA.NUS.ATLS,5.93
LKA,1970,PA.NUS.ATLS,5.95
LKA,1969,PA.NUS.ATLS,5.95
LKA,1968,PA.NUS.ATLS,5.95
LKA,1967,PA.NUS.ATLS,4.86
LKA,1966,PA.NUS.ATLS,4.76
LKA,1965,PA.NUS.ATLS,4.76
LKA,1964,PA.NUS.ATLS,5.95
LKA,1963,PA.NUS.ATLS,5.95
LKA,1962,PA.NUS.ATLS,4.86
LKA,1961,PA.NUS.ATLS,4.76
LKA,1960,PA.NUS.ATLS,4.76
LKA,2023,PA.NUS.PPP,86.7353177891082
LKA,2022,PA.NUS.PPP,76.4954342163252
LKA,2021,PA.NUS.PPP,55.5265464782715
LKA,2020,PA.NUS.PPP,55.1600952148438
LKA,2019,PA.NUS.PPP,51.7085876464844
LKA,2018,PA.NUS.PPP,49.967601776123
LKA,2017,PA.NUS.PPP,49.2740936279297
LKA,2016,PA.NUS.PPP,46.1923261027497
LKA,2015,PA.NUS.PPP,45.112389125597
LKA,2014,PA.NUS.PPP,44.2462388515779
LKA,2013,PA.NUS.PPP,42.9053136384704
LKA,2012,PA.NUS.PPP,41.431210180091
LKA,2011,PA.NUS.PPP,39.2888870239258
LKA,2010,PA.NUS.PPP,38.5646153332703
LKA,2009,PA.NUS.PPP,36.3780696647674
LKA,2008,PA.NUS.PPP,34.5697800864352
LKA,2007,PA.NUS.PPP,30.2903320280831
LKA,2006,PA.NUS.PPP,27.283522118244
LKA,2005,PA.NUS.PPP,25.2746694760186
LKA,2004,PA.NUS.PPP,23.6075401507174
LKA,2003,PA.NUS.PPP,22.2812822121488
LKA,2002,PA.NUS.PPP,20.8933001330561
LKA,2001,PA.NUS.PPP,19.6260038133215
LKA,2000,PA.NUS.PPP,19.0851973326692
LKA,1999,PA.NUS.PPP,18.1934953736576
LKA,1998,PA.NUS.PPP,17.7135874731076
LKA,1997,PA.NUS.PPP,16.4014120266103
LKA,1996,PA.NUS.PPP,15.3172616047275
LKA,1995,PA.NUS.PPP,14.0751152329342
LKA,1994,PA.NUS.PPP,13.147094549286
LKA,1993,PA.NUS.PPP,12.2326132507548
LKA,1992,PA.NUS.PPP,11.3961277207194
LKA,1991,PA.NUS.PPP,10.6539616310729
LKA,1990,PA.NUS.PPP,9.95647979362501
