Year,Country,tourists arrived,population
2000,Germany,18980000,82213000
2000,Sri Lanka,400414,19293054
2001,Germany,17860000,82350000
2001,Sri Lanka,336794,19600362
2002,Germany,17970000,82489000
2002,Sri Lanka,393171,19805752
2003,Germany,18400000,82541000
2003,Sri Lanka,500642,19951521
2004,Germany,20140000,82517000
2004,Sri Lanka,566202,20087605
2005,Germany,21500000,82470000
2005,Sri Lanka,549308,20216524
2006,Germany,23570000,82377000
2006,Sri Lanka,559603,20352411
2007,Germany,24420000,82267000
2007,Sri Lanka,494008,20492545
2008,Germany,24880000,82110000
2008,Sri Lanka,438475,20629378
2009,Germany,24220000,81901000
2009,Sri Lanka,447890,20756435
2010,Germany,26880000,81751000
2010,Sri Lanka,654476,20879089
2011,Germany,28370000,80233100
2011,Sri Lanka,855957,21009048
2012,Germany,30410000,80399000
2012,Sri Lanka,1005605,21169458
2013,Germany,31550000,80767000
2013,Sri Lanka,1274593,20585000
2014,Germany,33000000,81198000
2014,Sri Lanka,1527153,20778000
2015,Germany,34970000,82175700
2015,Sri Lanka,1798380,20970000
2016,Germany,35560000,82521700
2016,Sri Lanka,2050832,21209000
2017,Germany,37450000,82740900
2017,Sri Lanka,2116407,21444000
2018,Germany,38880000,82792400
2018,Sri Lanka,2333796,21670000
2019,Germany,39560000,83019200
2019,Sri Lanka,1913702,21803000
2020,Germany,12450000,83167700
2020,Sri Lanka,507704,21919000
2021,Germany,11690000,83237124
2021,Sri Lanka,194495,22156000
2022,Germany,28460000,84270625
2022,Sri Lanka,719978,22181000
2023,Germany,34800000,83456045
2023,Sri Lanka,1487303,22037000
